canonical_key,operator,line,render_kind,shape_class,session,built,display_line_ids,parts,drawn_km,drawn_stations,n02_km,semantic_km,audit_stations,n02_station_features,audit_edges,anchor_pass,anchor_warning,anchor_error,topology_status,topology_findings,builder_notes,skip_edges_dropped,not_drawn_reason,official_km,official_stations,source_url,verdict,review_notes
西日本旅客鉄道␟山陽線,西日本旅客鉄道,山陽線,jr_conventional,disconnected,23,yes,jp-西日本旅客鉄道-山陽線|jp-西日本旅客鉄道-山陽線-2|jp-西日本旅客鉄道-山陽線-3|jp-西日本旅客鉄道-山陽線-4,4,521.028,128,551.765,504.153,127,131,128,128,0,0,WARNING,uncovered_corridor,"大久保–明石 skips 西明石 over the same track — service edge, not a second alignment; 寺家–瀬野 skips 八本松 over the same track — service edge, not a second alignment; 広島–向洋 skips 天神川 over the same track — service edge, not a second alignment; trunk plus 1 branch(es) split from the graph; 2 disconnected piece(s) drawn as separate display lines | 2 unconnected track group(s) under one station order — drawn as separate lines | 4 interval(s) differ from the audited distance: [('倉敷', '西阿知', 4.327, 3.673), ('安芸中野', '海田市', 4.359, 3.561), ('天神川', '広島', 2.528, 1.911)] | 1 interval(s) differ from the audited distance: [('神戸', '兵庫', 1.882, 1.556)]",3,,,,,,
西日本旅客鉄道␟岩徳線,西日本旅客鉄道,岩徳線,jr_conventional,ordinary_linear,25,yes,jp-西日本旅客鉄道-岩徳線,1,43.607,15,43.908,40.747,15,15,14,15,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟播但線,西日本旅客鉄道,播但線,jr_conventional,ordinary_linear,24,yes,jp-西日本旅客鉄道-播但線,1,65.966,18,66.311,63.665,18,18,17,18,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟木次線,西日本旅客鉄道,木次線,jr_conventional,reversing_linear,24,yes,jp-西日本旅客鉄道-木次線,1,82.06,18,82.228,80.487,18,18,17,18,0,0,WARNING,sharp_artificial_turn,,0,,,,,,
西日本旅客鉄道␟本四備讃線,西日本旅客鉄道,本四備讃線,jr_conventional,ordinary_linear,26,yes,jp-西日本旅客鉄道-本四備讃線,1,12.98,5,13.222,12.398,5,5,4,5,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟東海道線,西日本旅客鉄道,東海道線,jr_conventional,branch_rejoins,23,yes,jp-西日本旅客鉄道-東海道線|jp-西日本旅客鉄道-東海道線-2,2,144.426,54,156.847,135.862,53,59,52,54,0,0,PASS,,"trunk plus 1 branch(es) split from the graph | 1 interval(s) differ from the audited distance: [('米原', '彦根', 5.901, 5.495)] | anchors re-chosen against the audited distances — several tracks share this line's N02 key",0,,,,,,
西日本旅客鉄道␟桜井線,西日本旅客鉄道,桜井線,jr_conventional,ordinary_linear,25,yes,jp-西日本旅客鉄道-桜井線,1,29.31,14,29.533,27.148,14,14,13,14,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟桜島線,西日本旅客鉄道,桜島線,jr_conventional,ordinary_linear,26,yes,jp-西日本旅客鉄道-桜島線,1,4.191,4,4.353,3.776,4,4,3,4,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟氷見線,西日本旅客鉄道,氷見線,jr_conventional,ordinary_linear,26,yes,jp-西日本旅客鉄道-氷見線,1,16.565,8,16.725,15.67,8,8,7,8,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟津山線,西日本旅客鉄道,津山線,jr_conventional,ordinary_linear,24,yes,jp-西日本旅客鉄道-津山線,1,58.656,17,58.942,56.551,17,17,16,17,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟湖西線,西日本旅客鉄道,湖西線,jr_conventional,ordinary_linear,24,yes,jp-西日本旅客鉄道-湖西線,1,74.41,21,74.706,69.543,21,21,20,21,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟片町線,西日本旅客鉄道,片町線,jr_conventional,ordinary_linear,25,yes,jp-西日本旅客鉄道-片町線,1,44.897,24,45.119,42.066,24,24,23,24,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟福塩線,西日本旅客鉄道,福塩線,jr_conventional,ordinary_linear,24,yes,jp-西日本旅客鉄道-福塩線,1,77.823,27,78.064,75.385,27,27,26,27,0,0,PASS,,,0,,,,,,
